"id","filename","duration","size","frames","quarter","timestamp","maleFaceSeconds","femaleFaceSeconds","totalFaceSeconds","attention","engagement","sentiment","positive","negative","neutral","anger","contempt","disgust","fear","joy","sadness","surprise"
"1d746ac6-6327-251f-5cbc-a1f8026104af","WIN_20150307_115711.MP4","5.359","1089784","92","1","2","2","0","2","1.0","0.0","0.0","0","0","2","0","0","0","0","0","0","0"
"1d746ac6-6327-251f-5cbc-a1f8026104af","WIN_20150307_115711.MP4","5.359","1089784","92","2","3","1","0","1","1.0","0.0","0.0","0","0","1","0","0","0","0","0","0","0"
"1d746ac6-6327-251f-5cbc-a1f8026104af","WIN_20150307_115711.MP4","5.359","1089784","92","3","5","2","0","2","1.0","0.0","0.0","0","0","2","0","0","0","0","0","0","0"
"1d746ac6-6327-251f-5cbc-a1f8026104af","WIN_20150307_115711.MP4","5.359","1089784","92","4","6","1","0","1","1.0","0.0","0.0","0","0","1","0","0","0","0","0","0","0"
